Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
random,standard,realTweets/Twitter_volume_IBM.csv,0.5,-723.52819152,813,6769,6784,777,15893
random,standard,realAdExchange/exchange-2_cpc_results.csv,0.5,-66.0969445421,83,585,633,80,1624
random,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.5,-192.72,0,1676,1752,0,4032
random,standard,realKnownCause/rogue_agent_key_updown.csv,0.5,-214.857492653,266,1991,2044,264,5315
random,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.5,-160.126790309,216,1487,1536,189,4032
random,standard,realTraffic/speed_t4013.csv,0.5,-100.956491293,123,911,960,127,2495
random,standard,realTweets/Twitter_volume_KO.csv,0.5,-719.136153818,792,6727,6787,795,15851
random,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.5,-192.72,0,1676,1752,0,4032
random,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.5,-192.72,0,1676,1752,0,4032
random,standard,realTweets/Twitter_volume_UPS.csv,0.5,-721.999721782,807,6754,6777,778,15866
random,standard,realTweets/Twitter_volume_AAPL.csv,0.5,-719.791745124,805,6770,6794,783,15902
random,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.5,-162.869415374,210,1483,1542,193,4032
random,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.5,-161.430260299,212,1486,1540,190,4032
random,standard,realTweets/Twitter_volume_GOOG.csv,0.5,-734.04005792,681,6767,6893,751,15842
random,standard,realTweets/Twitter_volume_CRM.csv,0.5,-719.02386094,807,6767,6792,786,15902
random,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.5,-187.680935927,246,1763,1784,228,4730
random,standard,realTraffic/speed_6005.csv,0.5,-105.040284865,122,922,964,117,2500
random,standard,artificialNoAnomaly/art_noisy.csv,0.5,-192.72,0,1676,1752,0,4032
random,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.5,-871.85,761,7866,7935,738,18050
random,standard,realTweets/Twitter_volume_AMZN.csv,0.5,-717.375193836,800,6729,6772,780,15831
random,standard,realTraffic/speed_7578.csv,0.5,-41.5521791451,74,415,427,42,1127
random,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.5,-192.72,0,1676,1752,0,4032
random,standard,realAdExchange/exchange-3_cpm_results.csv,0.5,-62.1218908779,76,560,595,77,1538
random,standard,realAdExchange/exchange-4_cpc_results.csv,0.5,-64.2733875061,89,601,631,76,1643
random,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.5,-163.472228573,198,1471,1554,205,4032
random,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.5,-162.450646694,213,1486,1539,190,4032
random,standard,realTraffic/occupancy_t4013.csv,0.5,-101.161877708,124,913,962,126,2500
random,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.5,-161.539282375,219,1492,1533,184,4032
random,standard,realKnownCause/ambient_temperature_system_failure.csv,0.5,-305.938307023,373,2889,2902,353,7267
random,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.5,-161.484592617,209,1483,1543,193,4032
random,standard,realTweets/Twitter_volume_FB.csv,0.5,-720.211700607,786,6714,6787,796,15833
random,standard,realAdExchange/exchange-3_cpc_results.csv,0.5,-60.0022779326,78,562,593,75,1538
random,standard,realKnownCause/rogue_agent_key_hold.csv,0.5,-75.5215466171,97,678,732,93,1882
random,standard,realTraffic/occupancy_6005.csv,0.5,-95.0195437004,129,878,906,110,2380
random,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.5,-161.677842984,211,1485,1541,191,4032
random,standard,realTraffic/TravelTime_387.csv,0.5,-98.6082228022,129,919,957,120,2500
random,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.5,-158.898565844,228,1502,1524,174,4032
random,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.5,-163.375907883,199,1472,1553,204,4032
random,standard,realTweets/Twitter_volume_CVS.csv,0.5,-721.592515119,786,6784,6793,740,15853
random,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.5,-166.259523153,183,1516,1569,160,4032
random,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.5,-161.36235548,202,1473,1550,203,4032
random,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.5,-182.064230621,246,1719,1744,219,4621
random,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.5,-162.371759808,216,1490,1536,186,4032
random,standard,realKnownCause/nyc_taxi.csv,0.5,-452.354205649,498,4241,4294,537,10320
random,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.5,-48.8136876428,71,455,476,55,1243
random,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.5,-189.410314022,228,1746,1802,245,4730
random,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.5,-163.850452931,194,1467,1558,209,4032
random,standard,artificialWithAnomaly/art_daily_nojump.csv,0.5,-163.375907883,199,1472,1553,204,4032
random,standard,artificialNoAnomaly/art_flatline.csv,0.5,-192.72,0,1676,1752,0,4032
random,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.5,-162.598353751,205,1479,1547,197,4032
random,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.5,-166.863790503,172,1502,1580,174,4032
random,standard,realKnownCause/machine_temperature_system_failure.csv,0.5,-1047.10919392,1156,9818,9859,1112,22695
random,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.5,-163.375907883,199,1472,1553,204,4032
random,standard,realTweets/Twitter_volume_PFE.csv,0.5,-723.666314661,775,6714,6806,813,15858
random,standard,realAdExchange/exchange-2_cpm_results.csv,0.5,-65.58460839,83,586,633,79,1624
random,standard,realAdExchange/exchange-4_cpm_results.csv,0.5,-63.748391295,80,593,640,84,1643
random,standard,realTraffic/TravelTime_451.csv,0.5,-88.2658226225,109,778,843,108,2162
random,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.5,-163.055888521,211,1484,1541,192,4032
Totals,,,,-16055.1567649,16989,148142,151205,16506,365558
