Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
TSA_AR,standard,realKnownCause/ambient_temperature_system_failure.csv,0.785693359375,-2.22,0,5789,2,726,7267
TSA_AR,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.785693359375,-2.64,0,3404,24,0,4032
TSA_AR,standard,artificialNoAnomaly/art_flatline.csv,0.785693359375,0.0,0,3428,0,0,4032
TSA_AR,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.785693359375,0.86067182427,1,3025,0,402,4032
TSA_AR,standard,artificialNoAnomaly/art_noisy.csv,0.785693359375,-3.74,0,3394,34,0,4032
TSA_AR,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.785693359375,-0.719433975856,1,3014,11,402,4032
TSA_AR,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.785693359375,0.170914954157,2,15794,7,1497,18050
TSA_AR,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.785693359375,-0.35099824357,1,3026,0,401,4032
TSA_AR,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.785693359375,-0.233199898334,13,3013,12,390,4032
TSA_AR,standard,realTraffic/TravelTime_451.csv,0.785693359375,-1.0,0,1621,0,217,2162
TSA_AR,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.785693359375,-0.138449197924,1,3026,0,401,4032
TSA_AR,standard,realAdExchange/exchange-2_cpc_results.csv,0.785693359375,-1.38163046337,0,1214,4,163,1624
TSA_AR,standard,realAdExchange/exchange-4_cpm_results.csv,0.785693359375,-0.263526424877,2,1233,0,162,1643
TSA_AR,standard,realAdExchange/exchange-3_cpc_results.csv,0.785693359375,0.623232500997,2,1154,1,151,1538
TSA_AR,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.785693359375,0.612343031527,1,3084,1,342,4032
TSA_AR,standard,realAdExchange/exchange-2_cpm_results.csv,0.785693359375,-0.937513462649,1,1219,0,161,1624
TSA_AR,standard,artificialWithAnomaly/art_daily_nojump.csv,0.785693359375,-0.360384290565,1,3012,13,402,4032
TSA_AR,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.785693359375,-0.138449197924,1,3026,0,401,4032
TSA_AR,standard,realTweets/Twitter_volume_UPS.csv,0.785693359375,-1.28669808672,5,13514,17,1580,15866
TSA_AR,standard,realTraffic/speed_6005.csv,0.785693359375,0.842622001756,2,1886,0,237,2500
