Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
LSTMCNnet,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.5,0.527514495251,24,919,12,102,1243
LSTMCNnet,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.5,-2.22418249629,0,3019,7,402,4032
LSTMCNnet,standard,realKnownCause/machine_temperature_system_failure.csv,0.5,-2.19768987469,64,19659,18,2204,22695
LSTMCNnet,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.5,0.853506766845,4,3025,0,399,4032
LSTMCNnet,standard,realTweets/Twitter_volume_AAPL.csv,0.5,0.369459772244,16,13552,12,1572,15902
LSTMCNnet,standard,realTweets/Twitter_volume_FB.csv,0.5,1.71777284326,5,13501,0,1577,15833
LSTMCNnet,standard,realTraffic/TravelTime_451.csv,0.5,0.851403892225,6,1621,0,211,2162
LSTMCNnet,standard,realTweets/Twitter_volume_CRM.csv,0.5,2.34155146264,22,13557,2,1571,15902
LSTMCNnet,standard,realTraffic/speed_t4013.csv,0.5,1.68807426221,18,1871,0,232,2495
LSTMCNnet,standard,realTraffic/speed_6005.csv,0.5,0.794956016157,2,1886,0,237,2500
LSTMCNnet,standard,realKnownCause/nyc_taxi.csv,0.5,2.13166415352,54,8532,3,981,10320
LSTMCNnet,standard,realAdExchange/exchange-2_cpc_results.csv,0.5,-1.0,0,1218,0,163,1624
LSTMCNnet,standard,realAdExchange/exchange-3_cpc_results.csv,0.5,2.4619766276,10,1154,1,143,1538
LSTMCNnet,standard,realAdExchange/exchange-3_cpm_results.csv,0.5,0.857454360734,2,1155,0,151,1538
LSTMCNnet,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.5,0.677772732015,14,3023,0,391,4032
LSTMCNnet,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.5,-1.0,0,3025,0,403,4032
LSTMCNnet,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.5,0.0,0,3428,0,0,4032
LSTMCNnet,standard,realKnownCause/rogue_agent_key_updown.csv,0.5,-2.0,0,4035,0,530,5315
LSTMCNnet,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.5,-0.264251642212,187,2973,52,216,4032
LSTMCNnet,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.5,-16.6905339307,184,2763,262,219,4032
LSTMCNnet,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.5,1.71242101575,24,3026,0,378,4032
LSTMCNnet,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.5,0.0,0,3428,0,0,4032
LSTMCNnet,standard,realTraffic/TravelTime_387.csv,0.5,-1.13598133079,1,1876,0,248,2500
LSTMCNnet,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.5,0.0699906340381,6,3017,8,397,4032
LSTMCNnet,standard,realAdExchange/exchange-2_cpm_results.csv,0.5,-0.163624204819,1,1219,0,161,1624
LSTMCNnet,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.5,1.98538099556,15,3082,0,331,4032
LSTMCNnet,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.5,0.0,0,3428,0,0,4032
LSTMCNnet,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.5,0.750745124208,1,3547,1,472,4730
LSTMCNnet,standard,realTraffic/occupancy_6005.csv,0.5,0.858299453299,1,1784,0,238,2380
LSTMCNnet,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.5,1.17466306287,4,3542,5,470,4730
LSTMCNnet,standard,realTweets/Twitter_volume_UPS.csv,0.5,-3.05006517555,16,13484,47,1569,15866
LSTMCNnet,standard,realTweets/Twitter_volume_AMZN.csv,0.5,-1.48594368104,16,13489,12,1564,15831
LSTMCNnet,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.5,-1.13759635579,1,3023,0,404,4032
LSTMCNnet,standard,artificialNoAnomaly/art_noisy.csv,0.5,0.0,0,3428,0,0,4032
LSTMCNnet,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.5,-2.49048094009,13,2988,38,389,4032
LSTMCNnet,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.5,0.86067182427,91,3025,0,312,4032
LSTMCNnet,standard,realTweets/Twitter_volume_KO.csv,0.5,2.45654387875,21,13512,2,1566,15851
LSTMCNnet,standard,realKnownCause/rogue_agent_key_hold.csv,0.5,-2.0,0,1410,0,190,1882
LSTMCNnet,standard,realTweets/Twitter_volume_GOOG.csv,0.5,0.6072137402,25,13658,2,1407,15842
LSTMCNnet,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.5,-1.13268174488,94,3012,73,249,4032
LSTMCNnet,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.5,0.0,0,3428,0,0,4032
LSTMCNnet,standard,realAdExchange/exchange-4_cpm_results.csv,0.5,1.14737369402,6,1229,4,158,1643
LSTMCNnet,standard,realTraffic/occupancy_t4013.csv,0.5,1.71365678411,7,1875,0,243,2500
LSTMCNnet,standard,realTweets/Twitter_volume_IBM.csv,0.5,1.20437317087,18,13547,6,1572,15893
LSTMCNnet,standard,realTweets/Twitter_volume_CVS.csv,0.5,2.59040680203,14,13576,1,1512,15853
