timestamp,value,anomaly_score,prediction,label
2015-08-31 18:22:00,90,0.0371236409373,87.9433931477,0
2015-08-31 18:32:00,80,0.147145590849,88.1516958677,0
2015-08-31 18:57:00,84,0.0413196347344,86.2890600648,0
2015-08-31 19:07:00,94,0.143078180457,86.0736339726,0
2015-08-31 19:12:00,90,0.0429633661414,87.6198791128,0
2015-08-31 19:17:00,91,0.0801535827331,86.5595840461,0
2015-08-31 19:47:00,62,0.441286106694,86.4467408888,0
2015-08-31 20:12:00,96,0.253900402165,81.9342108235,0
2015-08-31 20:27:00,75,0.156121698814,83.6489618869,0
2015-08-31 20:42:00,84,0.00163817082979,83.9092472271,0
2015-08-31 20:47:00,86,0.0889241875879,81.073702662,0
2015-08-31 20:52:00,93,0.164017106547,83.9136416392,0
2015-08-31 21:22:00,69,0.29856397961,85.5400998072,0
2015-08-31 21:27:00,88,0.153735190965,79.4832478929,0
2015-08-31 21:32:00,71,0.259752299155,85.3899775143,0
2015-08-31 21:47:00,74,0.119591127477,80.6252104058,0
2015-08-31 21:57:00,68,0.231048896956,80.7998421678,0
2015-08-31 22:07:00,88,0.172620351936,78.4370317762,0
2015-08-31 22:17:00,71,0.210970252502,82.6875084439,0
2015-08-31 22:22:00,87,0.117021189887,80.5171611699,0
2015-08-31 22:27:00,82,0.012646678983,82.7006114163,0
2015-08-31 23:37:00,68,0.254812820266,82.116336086,0
2015-08-31 23:57:00,73,0.135892113507,80.528266214,0
2015-09-01 00:07:00,69,0.18469287984,79.2317723331,0
2015-09-01 00:12:00,57,0.42336016797,80.4536645772,0
2015-09-01 00:17:00,43,0.561911109402,74.1292267889,0
2015-09-01 00:22:00,47,0.473964336209,73.2570770801,0
2015-09-01 00:47:00,73,0.0237577933896,71.6838456723,0
2015-09-01 00:57:00,78,0.0462814290146,75.43606226,0
2015-09-01 01:07:00,83,0.105663059723,77.1463884691,0
2015-09-01 01:32:00,87,0.165103837159,77.8534380178,0
2015-09-01 01:52:00,77,0.0813802189683,81.5083701853,0
2015-09-01 02:22:00,80,0.0392892447562,82.1765788039,0
2015-09-01 02:37:00,69,0.221507092605,81.2712372218,0
2015-09-01 02:47:00,63,0.315913555583,80.5012462877,0
2015-09-01 03:02:00,78,0.0231425098514,76.71793167,0
2015-09-01 03:27:00,66,0.266497003564,80.7636263525,0
2015-09-01 03:47:00,72,0.10730149593,77.9443790053,0
2015-09-01 03:52:00,54,0.40170959455,76.2542478032,0
2015-09-01 04:02:00,73,0.0632542278944,76.5042112045,0
2015-09-01 04:07:00,82,0.0897619506229,77.027291557,0
2015-09-01 04:22:00,90,0.151893746555,81.5852617875,0
